city,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
bangalore,flat,"electronics city phase 1, bangalore",0.74,3,2,2,New Property,1333.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 52,2.0,4,3,3,Moderately Old,2091.0,1,0,1,Medium,Mid Floor
gurgaon,flat,sector 33,1.35,3,2,3+,Under Construction,1484.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 92,0.49,2,2,2,Relatively New,1109.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 37d,0.75,2,2,3,Moderately Old,1409.963261,0,0,0,Low,High Floor
gurgaon,flat,sector 84,1.05,4,4,3+,New Property,1896.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 99,0.5,2,1,2,New Property,652.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 25,4.25,3,2,3,Old Property,1350.0,0,0,0,Low,Low Floor
gurgaon,house,sector 93,1.3,3,2,1,Relatively New,1152.0,0,0,0,Low,Mid Floor
bangalore,house,"anjanapura 2nd block, lal bahadur shastri nagar, bangalore",2.2,3,5,3+,New Property,735.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 4,0.42,2,2,1,Relatively New,833.0,0,0,2,Low,Mid Floor
gurgaon,flat,sector 24,6.5,4,5,3+,New Property,3888.0,1,0,1,Low,Mid Floor
gurgaon,house,sector 14,4.6,1,1,0,Old Property,2249.978017,0,0,0,Low,Low Floor
gurgaon,flat,sector 28,1.0,1,1,1,Old Property,995.0,0,0,2,Medium,Low Floor
gurgaon,house,sector 26,18.9,6,8,2,Relatively New,4518.0,1,1,2,Medium,Mid Floor
